species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_kg,sex
Adelie,Torgersen,39.1,18.7,181,3.75,male
Adelie,Torgersen,39.5,17.4,186,3.751,female
Adelie,Torgersen,40.3,18,196,3.752,female
Adelie,Torgersen,36.7,19.3,193,3.753,female
Adelie,Torgersen,39.3,20.6,190,3.754,male
Adelie,Torgersen,38.9,17.8,181,3.755,female
Adelie,Torgersen,39.2,19.6,195,3.756,male
Adelie,Torgersen,41.1,17.6,182,3.757,female
Adelie,Torgersen,38.6,21.2,191,3.758,male
Adelie,Torgersen,34.6,21.1,198,3.759,male
Adelie,Torgersen,36.6,17.8,185,3.76,female
Adelie,Torgersen,38.7,19,195,3.761,female
Adelie,Torgersen,42.5,20.7,197,3.762,male
Adelie,Torgersen,34.4,18.4,184,3.763,female
Adelie,Torgersen,46,21.5,194,3.764,male
Adelie,Biscoe,37.8,18.3,174,3.765,female
Adelie,Biscoe,37.7,18.7,180,3.766,male
Adelie,Biscoe,35.9,19.2,189,3.767,female
Adelie,Biscoe,38.2,18.1,185,3.768,male
Adelie,Biscoe,38.8,17.2,180,3.769,male
Adelie,Biscoe,35.3,18.9,187,3.77,female
Adelie,Biscoe,40.6,18.6,183,3.771,male
Adelie,Biscoe,40.5,17.9,187,3.772,female
Adelie,Biscoe,37.9,18.6,172,3.773,female
Adelie,Biscoe,40.5,18.9,180,3.774,male
Adelie,Dream,39.5,16.7,178,3.775,female
Adelie,Dream,37.2,18.1,178,3.776,male
Adelie,Dream,39.5,17.8,188,3.777,female
Adelie,Dream,40.9,18.9,184,3.778,male
Adelie,Dream,36.4,17,195,3.779,female
Adelie,Dream,39.2,21.1,196,3.78,male
Adelie,Dream,38.8,20,190,3.781,male
Adelie,Dream,42.2,18.5,180,3.782,female
Adelie,Dream,37.6,19.3,181,3.783,female
Adelie,Dream,39.8,19.1,184,3.784,male
Adelie,Dream,36.5,18,182,3.785,female
Adelie,Dream,40.8,18.4,195,3.786,male
Adelie,Dream,36,18.5,186,3.787,female
Adelie,Dream,44.1,19.7,196,3.788,male
Adelie,Dream,37,16.9,185,3.789,female
Adelie,Dream,39.6,18.8,190,3.79,male
Adelie,Dream,41.1,19,182,3.791,male
Adelie,Dream,36,17.9,190,3.792,female
Adelie,Dream,42.3,21.2,191,3.793,male
Adelie,Biscoe,39.6,17.7,186,3.794,female
Adelie,Biscoe,40.1,18.9,188,3.795,male
Adelie,Biscoe,35,17.9,190,3.796,female
Adelie,Biscoe,42,19.5,200,3.797,male
Adelie,Biscoe,34.5,18.1,187,3.798,female
Adelie,Biscoe,41.4,18.6,191,3.799,male
Adelie,Biscoe,39,17.5,186,3.8,female
Adelie,Biscoe,40.6,18.8,193,3.801,male
Adelie,Biscoe,36.5,16.6,181,3.802,female
Adelie,Biscoe,37.6,19.1,194,3.803,male
Adelie,Biscoe,35.7,16.9,185,3.804,female
Adelie,Biscoe,41.3,21.1,195,3.805,male
Adelie,Biscoe,37.6,17,185,3.806,female
Adelie,Biscoe,41.1,18.2,192,3.807,male
Adelie,Biscoe,36.4,17.1,184,3.808,female
Adelie,Biscoe,41.6,18,192,3.809,male
Adelie,Biscoe,35.5,16.2,195,3.81,female
Adelie,Biscoe,41.1,19.1,188,3.811,male
